tas,	Year, Month, Country
20.9925,1949,12,63.2456
20.7413,1950,1,44.342
20.1045,1950,2,40.2018
22.9506,1950,3,16.0099
25.0293,1950,4,52.8408
26.8836,1950,5,187.613
26.8378,1950,6,266.47
26.9538,1950,7,208.643
26.738,1950,8,257.701
25.997,1950,9,259.092
24.6382,1950,10,315.713
22.5099,1950,11,138.74
19.4495,1950,12,30.5932
19.2228,1951,1,28.2552
20.9909,1951,2,9.89431
21.3759,1951,3,40.0835
25.2727,1951,4,69.5387
26.6115,1951,5,170.409
26.5565,1951,6,271.379
26.8675,1951,7,187.883
26.9314,1951,8,317.969
26.1106,1951,9,248.647
24.6268,1951,10,342.208
22.8152,1951,11,215.261
20.7377,1951,12,43.4312
20.1246,1952,1,8.62317
21.6591,1952,2,18.5838
22.7164,1952,3,59.2625
25.525,1952,4,77.0936
27.6431,1952,5,121.345
27.3131,1952,6,218.552
27.0279,1952,7,295.145
26.6112,1952,8,291.797
25.7729,1952,9,283.42
24.5097,1952,10,299.681
23.0735,1952,11,125.311
19.0405,1952,12,34.2702
20.0347,1953,1,63.7258
20.9042,1953,2,41.6708
22.8064,1953,3,63.2594
24.616,1953,4,54.6811
26.6252,1953,5,218.551
26.9854,1953,6,280.698
27.3183,1953,7,202.472
27.165,1953,8,289.45
25.6858,1953,9,214.603
25.5259,1953,10,215.955
22.8096,1953,11,151.3
20.5556,1953,12,67.1577
21.3148,1954,1,71.7646
21.1919,1954,2,22.0982
20.7459,1954,3,80.4583
25.8799,1954,4,64.1059
26.816,1954,5,185.541
27.2678,1954,6,188.821
27.6029,1954,7,194.582
26.862,1954,8,318.111
25.8635,1954,9,293.847
24.2166,1954,10,169.63
22.4526,1954,11,65.9234
19.1727,1954,12,40.0483
17.7019,1955,1,10.6629
21.6682,1955,2,5.92379
22.7183,1955,3,38.7776
24.6367,1955,4,59.0041
27.1476,1955,5,202.501
26.7044,1955,6,232.341
26.9616,1955,7,182.859
26.4414,1955,8,302.819
26.414,1955,9,299.774
24.4321,1955,10,147.401
21.1205,1955,11,189.482
19.9951,1955,12,44.682
18.0729,1956,1,12.6827
21.3687,1956,2,60.3907
22.5903,1956,3,46.4481
